link,name,number,organization,price,status
//ke.qq.com/course/367596,【Atstudy】软件测试/性能/接口/压力/自动化测试 从入门到精通,777,博为峰网校在线教育,0,共21节
//ke.qq.com/course/388066,【体验班】3Dmax室外建筑表现/效果图/建筑动画/PS后期/全模渲染,489,艺点点教育,0,共28节
//ke.qq.com/course/235316,【松勤】软件测试0基础到项目实战系统学习全栈班,1089,松勤软件测试,7680,共149节
//ke.qq.com/course/436747,软件设计师-免费课程,36,倪奕文,0,共6节
//ke.qq.com/course/152110,色彩搭配 服装搭配 形象设计 . OS形象设计中心  时尚公开课,255,欧艾教育,0,共2节
//ke.qq.com/course/80672,整体形象设计师（线下+线上）,794,完颜形象教育,1480,共31节
//ke.qq.com/course/218871,必修四：三角函数与诱导公式—向量高中数学高一数学春季高考数学,783,数学怪,0,共6节
//ke.qq.com/course/468501,CRMEB小程序分包处理,60,鲁冬明,0,共1节
//ke.qq.com/course/package/22950,高薪就业+云架构师课,10,学神 IT 教育,8600,课程2
//ke.qq.com/course/33644,【后期课】3Dmax室外建筑效果图建筑表现-建筑设计/渲染/PS后期,208,云艺帆教育,0,共8节
//ke.qq.com/course/340304,.NET工控上位机实战系列课程【资料获取加QQ995551857】,190,喜科堂互联教育,0,共13节
//ke.qq.com/course/314334,领先见识•2019高考语文一轮复习（预备课）,203,杨洋,199,共6节
//ke.qq.com/course/258410,千锋html5经典入门视频教程：基础知识点讲解,73,扣丁学堂,0,共4节
//ke.qq.com/course/422626,独立音乐人训练—编曲（音乐制作）公开直播课,669,乐才派,0,进度：6/6节
//ke.qq.com/course/212365,Amazon亚马逊跨境电商VIP-把产品卖到全球,2941,魔贝课凡,4598,开设4个班级
//ke.qq.com/course/422695,安装工程造价 给排水/电气/消防/广联达/预算实操 安装造价公开课,278,妥妥教育,0,进度：9/9节
//ke.qq.com/course/477615,Flowable modeler设计器集成,43,分享牛,0,共5节
//ke.qq.com/course/401509,性能优化特训营,1221,六星教育,990,进度：3/5节
//ke.qq.com/course/400088,PS/AI/CDR/平面设计/海报/字体排版/配色/VI/logo/包装/物料设计,1212,设计侠,0,共11节
//ke.qq.com/course/312504,情商提升课程-情感恋爱课堂山本情感课堂,268,山本教育,0,共2节
//ke.qq.com/course/package/21963,计算机二级C语言精品课程[含公共基础][送指导],12,陈浩老师网络课堂,110,课程2
//ke.qq.com/course/468333,JVM GC调优 预习课,428,马士兵老师,0,共1节
//ke.qq.com/course/336361,抖音上热门|抖音好物推荐|短视频制作|抖商引流赚钱,6666,微客教育,0,共3节
//ke.qq.com/course/300929,次世代游戏提升班【云普集教育】,640,云普集游戏动漫学院,6280,进度：5/5节
//ke.qq.com/course/446053,【高一数学必修一】集合模块精选,211,闪电课堂,0,共1节
//ke.qq.com/course/273058,MATLAB中的正则表达式应用,13,孙忠潇,0,共1节
//ke.qq.com/course/package/23460,20年省考行测申论联报课程,0,抵岸教育,1960,课程4
//ke.qq.com/course/472283,Java互联网架构师之设计模式精讲,583,图灵学院,0,共11节
//ke.qq.com/course/431872,（高中生物、高一生物）必修一《细胞的物质运输》,324,闪电课堂,0,共1节
//ke.qq.com/course/313277,java全栈自动化第7-17期（web自动化＋接口自动化+app自动化）,785,柠檬班,6300,开设9个班级
//ke.qq.com/course/339744,"任鸟飞逆向之辅助,脚本,内存,封包,外挂与反外挂基础免费版",148,飞郁网络培训,0,共24节
//ke.qq.com/course/437698,高一同步课程初升高衔接（数英物化生史地）,137,闪电课堂,0,共4节
//ke.qq.com/course/473588,超级学习法天才精英班三四年级,437,广东世之峰教育网络科技有限公司,4980,开设2个班级
//ke.qq.com/course/8726,【渲染课】3Dmax室外建筑效果图建筑表现/建筑设计/渲染/PS后期,374,云艺帆教育,0,共9节
//ke.qq.com/course/407104,【坤哥物理】高三二轮复习攻略-暨二三轮复习课发布会,1170,蜜蜂优课,0,共3节
//ke.qq.com/course/463750,【思睿电商】 2020年终冲刺班,465,思睿电商学院,3680,进度：17/25节
//ke.qq.com/course/447570,spring boot原理解析【鲁班学院】,770,鲁班学院,0,共4节
//ke.qq.com/course/97965,165天逆袭web前端高级开发工程师 JS/React/VueJS/NodeJS框架实战,3105,职坐标,0,共69节
//ke.qq.com/course/473494,2020年浙江省公务员考试—笔试系统班,208,思政教育,980,进度：22/36节
//ke.qq.com/course/74899,【艾巴优教育】3DMAX建模效果图 CAD VRAY PS cr室内设计家装工装,1684,艾巴优教育,0,共6节
//ke.qq.com/course/456850,小雨注暖一元体验班及公开课,272,蔺鹏飞,0,共30节
//ke.qq.com/course/445641,井方格实用硬笔行书速成法,20,硬笔书法培训,387,共11节
//ke.qq.com/course/425363,物理高考2020一轮复习【王羽物理】添加微信领取资料：97975128,930,王羽,0,共14节
//ke.qq.com/course/280353,VR室内设计/交互式全景/用3dmax、UE4创造照片级室内设计效果图,108,丁树凯,0,共24节
//ke.qq.com/course/450694,产品精修+海报合成实战班/为课教育,51,为课教育,1699,随到随学
//ke.qq.com/course/127439,【北京峰源】混凝土结构设计实战免费公开课,171,峰源教育,0,共47节
//ke.qq.com/course/426546,商业人像精修高级班  免费重修（领取买1赠2福利请咨询客服下单）,412,蜂鸟摄影微课堂,3598,随到随学
//ke.qq.com/course/143027,【北京峰源】注册结构工程师专业考试培训公开课,1795,峰源教育,0,共24节
//ke.qq.com/course/278150,短视频自媒体|新媒体赚钱揭秘，头条号|抖音|百家企鹅号趣头条,1889,泛学苑自媒体,0,共9节
//ke.qq.com/course/373394,顶级名师带你冲刺2020高考,5016,闪电课堂,0,共9节
//ke.qq.com/course/package/21667,自考线代+概率论组合（2020年4月）,1,刘老师“慢”数学课堂,638,课程3
//ke.qq.com/course/465821,初中物理 初二物理下册重点章节知识点,440,可邦教育,0,共6节
//ke.qq.com/course/327182,300股指期权与300ETF期权注意事项及盈利策略,235,成都智慧宽客科技有限公司,0,进度：4/4节
//ke.qq.com/course/package/21199,初级职称通关班第9期,124,菜子学院,1980,课程7
//ke.qq.com/course/405578,我要学产品-90天产品经理实战班,909,起点学院,0,共3节
//ke.qq.com/course/290400,【精品推荐】人体结构基础绘画公开课,1086,飞鱼绘,0,进度：16/17节
//ke.qq.com/course/354891#term_id=100421864,【摄影】摄影基础实战/郭卫/录播/中艺,3895,中艺影像,19,共20节
//ke.qq.com/course/446059#term_id=100421864,【高一数学必修一】函数模块精选,356,闪电课堂,0,共1节
//ke.qq.com/course/430671#term_id=100421864,期权若干本质问题解析——结合咏春PRO,39,成都智慧宽客科技有限公司,0,进度：1/1节
//ke.qq.com/course/272916,淘宝运营技巧实操讲解 直通车拉升自然访客轻松打造爆款【齐论】,12,齐论教育,99,共51节
//ke.qq.com/course/441617,Python编程入门到进阶/爬虫/数据分析/人工智能,1077,灵犀教育,0,共16节
//ke.qq.com/course/356704,2020年勘察设计注册电气工程师基础考试（学姐带你过电气）,210,电气学姐,0,共7节
//ke.qq.com/course/186281,高级男装结构与版型技术工程课程【艺服在线教学】,84,艺服教育,4998,随到随学
//ke.qq.com/course/331426,【高中数学、高考数学】射影定理秒杀三角函数难题【肖博数学】,240,肖博教育,0,共1节
//ke.qq.com/course/151685,必修一：集合概念与综合—高中数学高考数学高一数学函数春考对数,341,数学怪,0,共13节
//ke.qq.com/course/349659,学神Linux高薪运维云计算全程班/全程直播/终身学习/一对一辅导,333,学神IT教育,6970,进度：33/62节
//ke.qq.com/course/285458,选修：导数概念与求导公式—高考数学高中数学高二数学微积分,466,数学怪,0,共3节
//ke.qq.com/course/423755,RabbitMQ消息中间件实战【每特教育】,816,每特教育,9,共11节
//ke.qq.com/course/355733,数码摄影课程合辑-中艺网校,3817,中艺影像,2980,共85节
//ke.qq.com/course/57506,【直播】ps板绘商业插画设计试听课【合尚教育-HESUN】,1178,合尚教育,0,共5节
//ke.qq.com/course/435302,Flutter女装商城实战(学习版),297,亢少军,0,共38节
//ke.qq.com/course/421545,【VIP-2年】付款链接 淘宝店铺电商运营 新手入门【齐论教育】,712,齐论教育,7198,随到随学
//ke.qq.com/course/398459,ps板绘商业插画/插画设计/插画/板绘/手绘/CG插画/设计,2373,应图马教育,0,共13节
//ke.qq.com/course/150280,PS淘宝美工实战特训 平面设计 海报设计 主图 详情页 智源教育,3326,智源教育学院,0,共10节
//ke.qq.com/course/449605,新2020 PS 108实训班/实操训练/老师指导/作业点评/第3代VIP课程,2450,聚心恒教育,2430,随到随学
//ke.qq.com/course/447248,【直播】小学英语语法全套 小升初语法冲刺辅导 零基础课程,222,e学苑在线教育,0,共3节
//ke.qq.com/course/434648,琅泽成哥_3Dmax-tyFlow超强粒子插件教程,32,琅泽在线教育,0,共7节
//ke.qq.com/course/174243,2020年初级会计师职称【实务经济法2科全套】精讲班+讲义题库答疑,2266,瑞云学堂,68,共130节
//ke.qq.com/course/310732,【柠檬班】软件测试Python/Java接口/App/RF自动化测试/测试开发,414,柠檬班,0,共21节
//ke.qq.com/course/438422,【坤哥物理】高中物理学习中看似勤奋、实则低效的7个坑！,1529,蜜蜂优课,0,共2节
//ke.qq.com/course/package/23511,2020高三数学寒春班,0,上课铃教育,1699,课程3
//ke.qq.com/course/414918,【坤哥物理】2019全国123卷点评 今年居然这样考 不听后悔一整年,596,蜜蜂优课,0,共6节
//ke.qq.com/course/297066,Rhino倒角工具用法与技巧分享,78,Rhino3D（犀牛）原厂中国/Shaper3d,0,共1节
//ke.qq.com/course/package/21802,商业插画-基础班,2,应图马教育,2080,课程2
//ke.qq.com/course/478463,2020年3月 未来教育计算机三级数据库技术全程班试听课,145,未来教育,0,共5节
//ke.qq.com/course/474063,【坤哥物理】理综如何得高分：坤哥理综考试攻略大放送,1280,蜜蜂优课,0,共1节
//ke.qq.com/course/457239,原画人日韩角色设计1期【吸烟】,29,原画人在线学院,4890,进度：2/6节
//ke.qq.com/course/465149,注册结构工程师专业考试—公开课免费学,134,兰定筠,0,共5节
//ke.qq.com/course/356285,PS教程/摄影后期 人像 商业精修/调色/排版/合成/风光 风景/影楼/,3414,涵品教育,0,共11节
//ke.qq.com/course/409849,精英续航系列-精讲班：经济法基础【续航A班】,798,菜子学院,398,进度：10/30节
//ke.qq.com/course/389156,CISSP认证学习公开课,50,铭学在线课堂,0,共1节
//ke.qq.com/course/410003,【坤哥物理】2020高考一轮试听课-相互作用、平衡态受力分析技巧,875,蜜蜂优课,0,共1节
//ke.qq.com/course/233919,【NEXT学位 x IMWeb】Web前端从小白到大师进阶课程,125,腾讯课堂NEXT学院,5399,共117节
//ke.qq.com/course/459840,国和【路基工程精讲一】教材编委郑智能主讲,158,国和网校,1,进度：1/1节
//ke.qq.com/course/366612,成人学位英语试听课-适用自考、网教、成教 - 晨夕,454,晨夕学院,0,共11节
//ke.qq.com/course/452267,《高级女装制版全套深造技术》第二期VIP一班级直播回放视频,144,艺服教育,1398,共72节
//ke.qq.com/course/452337,2020年一级建造师一建免费系列课,665,教授伴学,0,共21节
//ke.qq.com/course/432652,分库分表-AOP高阶应用【图灵学院】,112,图灵学院,0,共4节
//ke.qq.com/course/package/21135,2020给排水专业全程班,48,张工教育,3480,课程4
//ke.qq.com/course/446048,【高考数学，必修五】数列模块精选,136,闪电课堂,0,共1节
//ke.qq.com/course/275794,Web安全/kali/黑客信息安全/网络安全/渗透/linux/编程语言/架构,1915,掌控安全学院,0,共22节
//ke.qq.com/course/458542,【VIP-2年】付款链接 打造爆款全系拼多多 运营实操课程【齐论】,162,齐论拼多多学院,5598,随到随学
//ke.qq.com/course/462855,初中物理 初二物理全年必考重点知识点（上下学期）,330,可邦教育,0,共22节
//ke.qq.com/course/442048,SpringMVC+Spring+MyBatis框架整合SSM整合[IntelliJ IDEA/MySQL],195,鸟哥教育,0,共1节
//ke.qq.com/course/429924,商业高级后期班,846,为课教育,2599,随到随学
//ke.qq.com/course/464586,【佳骏语文】2020高三一轮试听课-轻松拿分的文言文翻译法则,435,蜜蜂优课,0,共1节
//ke.qq.com/course/445606,【高考数学、高中数学】平面向量精选,257,闪电课堂,0,共1节
//ke.qq.com/course/448947,武百分2020乡村全科执业助理医师考点精讲班,95,武百分教育,798,共38节
//ke.qq.com/course/377044,2021天勤率辉计算机考研备考方案,162,天勤辉哥讲堂,0,共1节
//ke.qq.com/course/308064,初三物理全册经典题详解,663,晓窗教育,0,共32节
//ke.qq.com/course/139924,Excel Power Query 第2季视频教程 可视化及M函数入门【朱仕平】,553,朱仕平,168,共114节
//ke.qq.com/course/435347,【坤哥物理】2022新课标必修一试听课-巧用XT、VT图秒解物理题,785,蜜蜂优课,0,共1节
//ke.qq.com/course/281293,面向对象C#零基础入门精讲（1）C#开发入门,84,徐照兴,10,共7节
//ke.qq.com/course/package/17176,2020完全解析+题库,270,唐志,298,课程2
//ke.qq.com/course/469090,ANSYS worbench 结构分析精通试听课,26,武汉卓宇创新计算机辅助设计有限公司,0,共4节
//ke.qq.com/course/413290,高中物理必修一课后练习讲解,201,晓窗教育,0,共37节
//ke.qq.com/course/208047,大暑教育2020全新VIP实战课程,1,大暑电商学院,3680,共6节
//ke.qq.com/course/226784,CAD2020软件运用，全套施工图讲解,1321,云学贝教育,5,共6节
//ke.qq.com/course/392397,春哥4节超值人体结构干货入门课,1984,飞鱼绘,9,共4节
//ke.qq.com/course/420481,线稿课程17期【墨非凡画坊】,145,邓梦菲,2000,共13节
//ke.qq.com/course/442769,(小码哥)经典编程语言：Swift编程入门,123,小码哥教育,0,共1节
//ke.qq.com/course/435752,市政录播试听课（一阶）-工程造价案例实操【启程学院】,148,启程学院,0,共7节
//ke.qq.com/course/467939,武百分2020执业/助理医师资格考试血液系统考点精讲,1486,武百分教育,69,共8节
//ke.qq.com/course/427231,圆锥超级大招：独家心法口诀—高中数学新高考数学高三一轮,233,数学怪,9,共1节
//ke.qq.com/course/284767,【CG插画直播间】板绘基游戏美术/手绘/绘画/SAI/插画原画,528,润木艺术,0,共21节
//ke.qq.com/course/package/16990,从基础到风光人文进阶,7,好摄帮课堂,2680,课程2
//ke.qq.com/course/467524,Java小白如何逆袭50万年薪技术大咖,98,小码哥教育,0,共10节
//ke.qq.com/course/278151,【免费试学】自媒体短视频赚钱|头条号|抖音电商网赚|网络营销,483,泛学苑自媒体,0,共2节
//ke.qq.com/course/274948,山本教育素云VIP第九期恋爱技巧-完美情人班,343,山本教育,1598,进度：1/3节
//ke.qq.com/course/459831,国和【桥梁工程精讲之小桥涵】道勘大咖孙家驷老师主讲,176,国和网校,1,进度：1/1节
//ke.qq.com/course/260207,Axure视频教程：AxureRP8零基础到全面精通（自学视频，更新中）,283,部落窝教育,0,共37节
//ke.qq.com/course/305534,平面设计大师班,3417,智源教育学院,2380,共15节
//ke.qq.com/course/165888,移动端高级 | 移动端开发深度揭秘【妙味课堂】,15,妙味课堂,0,共14节
//ke.qq.com/course/338650,graceUI  - 微信小程序UI框架、uni-app UI框架 使用教程,143,hcoder 刘海君,0,共7节
//ke.qq.com/course/package/19238,UG塑胶模具设计中级班,1,学呀教育.,2998,课程2
//ke.qq.com/course/338350,自考英语二试听课（00015）晨夕,307,晨夕学院,0,共11节
//ke.qq.com/course/348793,maya肌肉系统从入门到精通（上）,25,创世工匠vfx,0,共8节
